Date,Rank,Artist,Monthly Listeners (Millions)
November 2021,5,Dua Lipa,66.68
November 2021,6,Coldplay,60.4
November 2021,7,Taylor Swift,60.03
November 2021,8,Ariana Grande,59.83
November 2021,9,Bruno Mars,57.69
November 2021,10,Doja Cat,57.54
December 2021,1,Justin Bieber,94.42
December 2021,2,Ed Sheeran,84.46
December 2021,3,Ariana Grande,79.53
December 2021,4,The Weeknd,77.72
December 2021,5,Dua Lipa,66.9
December 2021,6,Elton John,65.56
December 2021,7,Coldplay,63.84
December 2021,8,Mariah Carey,62.41
December 2021,9,Adele,61.98
December 2021,10,Taylor Swift,59.38
January 2022,1,The Weeknd,86.05
January 2022,2,Justin Bieber,78.91
January 2022,3,Ed Sheeran,75.75
January 2022,4,Dua Lipa,67.47
January 2022,5,Adele,59.42
January 2022,6,Coldplay,57.39
January 2022,7,Doja Cat,55.5
January 2022,8,Imagine Dragons,55.16
January 2022,9,Ariana Grande,55.14
January 2022,10,Bruno Mars,53.76
February 2022,1,The Weeknd,80.39
February 2022,2,Justin Bieber,78.08
February 2022,3,Ed Sheeran,77.51
February 2022,4,Dua Lipa,66.73
February 2022,5,Coldplay,57.31
February 2022,6,Taylor Swift,57.13
February 2022,7,Imagine Dragons,56.7
February 2022,8,Adele,56.68
February 2022,9,Doja Cat,55.67
February 2022,10,Bruno Mars,54.31
March 2022,1,Ed Sheeran,81.76
March 2022,2,Justin Bieber,78.86
March 2022,3,The Weeknd,78.32
March 2022,4,Dua Lipa,69
March 2022,5,Imagine Dragons,58.88
March 2022,6,Coldplay,58.01
March 2022,7,Doja Cat,56.15
March 2022,8,Taylor Swift,54.31
March 2022,9,J Balvin,54.21
March 2022,10,Ariana Grande,54.08
April 2022,1,Ed Sheeran,83.67
April 2022,2,Justin Bieber,78.81
April 2022,3,The Weeknd,77.55
April 2022,4,Dua Lipa,66.38
April 2022,5,Harry Styles,61.09
April 2022,6,Coldplay,58.96
April 2022,7,Imagine Dragons,58.31
April 2022,8,J Balvin,55.78
April 2022,9,Doja Cat,55.15
April 2022,10,Taylor Swift,53.89
May 2022,1,Ed Sheeran,84
May 2022,2,Justin Bieber,78.91
May 2022,3,The Weeknd,75
May 2022,4,Harry Styles,69.61
May 2022,5,Dua Lipa,66.62
May 2022,6,Bad Bunny,59.21
May 2022,7,Drake,57.52
May 2022,8,Taylor Swift,56.23
May 2022,9,Coldplay,56.19
May 2022,10,Imagine Dragons,55.28
June 2022,1,Ed Sheeran,82.52
June 2022,2,The Weeknd,75.53
June 2022,3,Justin Bieber,75.4
June 2022,4,Harry Styles,74.1
June 2022,5,Dua Lipa,74.1
June 2022,6,Drake,64.79
June 2022,7,Doja Cat,62.05
June 2022,8,Bad Bunny,61.73
June 2022,9,Post Malone,58.11
June 2022,10,Taylor Swift,57.05
July 2022,1,Ed Sheeran,81.45
July 2022,2,The Weeknd,76.48
July 2022,3,Justin Bieber,72.54
July 2022,4,Harry Styles,71.45
July 2022,5,Dua Lipa,70.87
July 2022,6,Drake,64.38
July 2022,7,Bad Bunny,62.88
July 2022,8,Doja Cat,58.95
July 2022,9,Taylor Swift,56.92
July 2022,10,Calvin Harris,56.48
August 2022,1,Ed Sheeran,81.48
August 2022,2,The Weeknd,78.89
August 2022,3,Justin Bieber,71.24
August 2022,4,Harry Styles,69.99
August 2022,5,Dua Lipa,69.02
August 2022,6,Drake,65.12
August 2022,7,Bad Bunny,63.57
August 2022,8,Calvin Harris,58.71
August 2022,9,Taylor Swift,58.52
August 2022,10,Doja Cat,56.85
September 2022,1,Ed Sheeran,78.15
September 2022,2,The Weeknd,77.48
September 2022,3,Justin Bieber,71.1
September 2022,4,Harry Styles,68.82
September 2022,5,David Guetta,65.8
September 2022,6,Bad Bunny,63.99
September 2022,7,Dua Lipa,63.96
September 2022,8,Drake,61.92
September 2022,9,Coldplay,58.01
September 2022,10,Taylor Swift,57.94
October 2022,1,The Weeknd,78.41
October 2022,2,Ed Sheeran,78.07
October 2022,3,Taylor Swift,72.94
October 2022,4,David Guetta,68.52
October 2022,5,Justin Bieber,68.29
October 2022,6,Sam Smith,67.62
October 2022,7,Harry Styles,65.73
October 2022,8,Bad Bunny,63.05
October 2022,9,Dua Lipa,60.89
October 2022,10,Drake,60.8
November 2022,1,Taylor Swift,82.07
November 2022,2,The Weeknd,78.35
November 2022,3,Ed Sheeran,75.93
November 2022,4,Drake,71.55
November 2022,5,Justin Bieber,71.18
November 2022,6,Rihanna,70.8
November 2022,7,Sam Smith,70.45
November 2022,8,David Guetta,67.13
November 2022,9,Harry Styles,62.94
November 2022,10,Ariana Grande,61.18
December 2022,1,The Weeknd,91.18
December 2022,2,Justin Bieber,84.46
December 2022,3,Ed Sheeran,82.89
December 2022,4,Ariana Grande,82.39
December 2022,5,Taylor Swift,81.85
December 2022,6,Sam Smith,76.66
December 2022,7,Mariah Carey,73.97
December 2022,8,Drake,67.54
December 2022,9,David Guetta,66.79
December 2022,10,Coldplay,66.46
January 2023,1,The Weeknd,96.62
January 2023,2,Taylor Swift,78.85
January 2023,3,Ed Sheeran,76.99
January 2023,4,Shakira,74.64
January 2023,5,David Guetta,72.91
January 2023,6,Miley Cyrus,72.29
January 2023,7,Sam Smith,70.61
January 2023,8,Rihanna,69.48
January 2023,9,Drake,68.96
January 2023,10,Justin Bieber,68.29
